CONTENT,TOPIC
会议指出，建立村务监督委员会，是健全基层民主管理机制的探索性实践，对于从源头上遏制村民群众身边的不正之风和腐败问题、促进农村和谐稳定具有重要作用。要不断总结经验，完善制度设计，进一步规范监督主体、内容、权限和程序，完善村党组织领导的村民自治机制，切实保障村民群众合法权益和村集体利益，提升乡村治理水平。,农业农村
丰富人民群众精神文化生活。培育和践行社会主义核心价值观。深化群众性精神文明创建。发展新闻出版、广播影视、文学艺术、哲学社会科学和档案等事业，加强智库建设。扎实推进媒体深度融合。提升国际传播效能。加强和创新互联网内容建设。弘扬中华优秀传统文化，加强文物和文化遗产保护传承。实施文化惠民工程，公共图书馆、博物馆、美术馆、文化馆站向社会免费开放。深入推进全民阅读。支持文化产业发展。加强国家科普能力建设。体育健儿勇创佳绩，全民健身广泛开展。,文化旅游
加强就业和社会保障。完善就业促进政策，推出创业引领计划，高校毕业生就业稳中有升。统一城乡居民基本养老保险制度，企业退休人员基本养老金水平又提高10%。新开工保障性安居工程740万套，基本建成511万套。全面建立临时救助制度，城乡低保标准分别提高9.97%和14.1%，残疾军人、烈属和老复员军人等优抚对象抚恤和生活补助标准提高20%以上。,就业
会议强调，党中央提出建立中央统筹、省负总责、市县落实、合力攻坚的脱贫攻坚责任制要求以来，有关地方迅速行动，自上而下层层签订脱贫攻坚责任书，明确目标任务和工作责任，抓实各项工作任务，取得积极成效。下一步，要针对发现问题完善相关制度机制，强化领导责任制，创新精准识别帮扶机制，健全扶贫考核评价体系，推动脱贫攻坚责任制扎实落地、切实发挥作用。,民生扶贫
会议指出，积极稳妥推进核电项目建设，是扩大有效投资、增强能源支撑、减少温室气体排放的重要举措。会议核准了已列入国家规划、具备建设条件、采用“华龙一号”三代核电技术的海南昌江核电二期工程和民营资本首次参股投资的浙江三澳核电一期工程。两个项目有效总投资超过700亿元，将带动大量就业。会议要求加强核能短板领域攻关，坚持安全第一、质量至上，压实企业安全主体责任，强化工程建设和运行监管，确保万无一失。,能源
习近平强调，要健全统一的应急物资保障体系，把应急物资保障作为国家应急管理体系建设的重要内容，按照集中管理、统一调拨、平时服务、灾时应急、采储结合、节约高效的原则，尽快健全相关工作机制和应急预案。要优化重要应急物资产能保障和区域布局，做到关键时刻调得出、用得上。对短期可能出现的物资供应短缺，建立集中生产调度机制，统一组织原材料供应、安排定点生产、规范质量标准，确保应急物资保障有序有力。要健全国家储备体系，科学调整储备的品类、规模、结构，提升储备效能。要建立国家统一的应急物资采购供应体系，对应急救援物资实行集中管理、统一调拨、统一配送，推动应急物资供应保障网更加高效安全可控。,物资储备
新华社北京3月21日电 国务院总理李克强3月21日主持召开国务院常务会议，确定实施大规模增值税留抵退税的政策安排，为稳定宏观经济大盘提供强力支撑；部署综合施策稳定市场预期，保持资本市场平稳健康发展。,宏观
会议指出，建设主体功能区是我国经济发展和生态环境保护的大战略。完善主体功能区战略和制度，要发挥主体功能区作为国土空间开发保护基础制度作用，推动主体功能区战略格局在市县层面精准落地，健全不同主体功能区差异化协同发展长效机制，加快体制改革和法治建设，为优化国土空间开发保护格局、创新国家空间发展模式夯实基础。,区域发展
会议强调，推进中央党政机关和事业单位经营性国有资产集中统一监管试点，要坚持政企分开、政资分开、所有权与经营权分离，理顺中央党政机关和事业单位同所办企业关系，搭建国有资本运作平台，优化国有资本布局结构，提高国有资本配置和监管效率，有效防止国有资产流失，实现企业健康发展和经营性国有资产保值增值。,企业发展
当前我国新冠疫情防控已进入“乙类乙管”常态化防控阶段，要在对疫情防控工作进行全面科学总结的基础上，更加科学、精准、高效做好防控工作，围绕保健康、防重症，重点做好老年人、儿童、患基础性疾病群体的疫情防控和医疗救治，提升疫情监测水平，推进疫苗迭代升级和新药研制，切实保障群众就医用药需求，守护好人民生命安全和身体健康。,新冠疫情
积极的财政政策要加力增效。今年拟安排财政赤字1.62万亿元，比去年增加2700亿元，赤字率从去年的2.1%提高到2.3%。其中，中央财政赤字1.12万亿元，增加1700亿元；地方财政赤字5000亿元，增加1000亿元。处理好债务管理与稳增长的关系，创新和完善地方政府举债融资机制。适当发行专项债券。保障符合条件的在建项目后续融资，防范和化解风险隐患。优化财政支出结构，大力盘活存量资金，提高使用效率。继续实行结构性减税和普遍性降费，进一步减轻企业特别是小微企业负担。,地方财政
推进财税体制改革。重点是逐步推行增值税由生产型改为消费型，将设备投资纳入增值税抵扣范围，促进企业技术进步，提高自主发展能力。今年在东北地区部分行业先行试点。抓紧制定配套措施，认真落实出口退税机制改革方案。,税务
我们要坚定奉行独立自主的和平外交政策，坚定不移走和平发展道路，坚持在和平共处五项原则基础上同各国发展友好合作，坚定奉行互利共赢的开放战略，始终做世界和平的建设者、全球发展的贡献者、国际秩序的维护者。中国愿同国际社会一道落实全球发展倡议、全球安全倡议，弘扬全人类共同价值，携手推动构建人类命运共同体，维护世界和平和地区稳定。,国际关系
会议指出，日前国际货币基金组织决定将人民币纳入特别提款权货币篮子，这是国际社会对中国改革开放成就的认可，中国政府表示欢迎。这有利于助推人民币逐步国际化进程，促进我国在更深层次和更广领域参与全球经济治理，实现合作共赢。要以此为契机，进一步深化金融改革开放，完善宏观审慎管理，坚持有管理的浮动汇率制度，保持人民币汇率在合理均衡水平上的基本稳定，妥善化解风险，完善配套制度，有序实现人民币资本项目可兑换。,金融
