ID	TITLE	CONTENT	TOPIC
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议强调，在全国范围内试行生态环境损害赔偿制度，是落实党的十八届三中全会部署的一项重要举措。要在总结前期试点工作基础上，进一步明确生态环境损害赔偿范围、责任主体、索赔主体和损害赔偿解决途径等，形成相应的鉴定评估管理与技术体系、资金保障及运行机制，探索建立生态环境损害的修复和赔偿制度，加快推进生态文明建设。	绿色发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议指出，建立村务监督委员会，是健全基层民主管理机制的探索性实践，对于从源头上遏制村民群众身边的不正之风和腐败问题、促进农村和谐稳定具有重要作用。要不断总结经验，完善制度设计，进一步规范监督主体、内容、权限和程序，完善村党组织领导的村民自治机制，切实保障村民群众合法权益和村集体利益，提升乡村治理水平。	农业农村
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议强调，在总结司法责任制改革试点成功经验的基础上，加强法官检察官正规化专业化职业化建设、全面落实司法责任制，是深入推进司法体制改革的重大部署安排。要巩固和完善改革成果，把坚持党的领导贯穿始终，加强法官检察官思想政治与职业道德建设，完善员额制，落实责任制，强化监督制约，健全保障机制，为深入推进司法责任制改革提供规范明确的政策依据。	教育
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议指出，在上海市率先开展司法体制综合配套改革试点，要坚持党对司法工作的领导，坚持法治国家、法治政府、法治社会一体建设，坚持满足人民司法需求、遵循司法规律，在综合配套、整体推进上下功夫，进一步优化司法权力运行，完善司法体制和工作机制，深化信息化和人工智能等现代科技手段运用，形成更多可复制可推广的经验做法，推动司法质量、司法效率和司法公信力全面提升。	法治
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议强调，党中央提出建立中央统筹、省负总责、市县落实、合力攻坚的脱贫攻坚责任制要求以来，有关地方迅速行动，自上而下层层签订脱贫攻坚责任书，明确目标任务和工作责任，抓实各项工作任务，取得积极成效。下一步，要针对发现问题完善相关制度机制，强化领导责任制，创新精准识别帮扶机制，健全扶贫考核评价体系，推动脱贫攻坚责任制扎实落地、切实发挥作用。	民生扶贫
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议指出，党中央授权宁夏回族自治区开展“多规合一”试点以来，在编制空间规划、明确保护开发格局、建设规划管理信息平台、探索空间规划管控体系、推进空间规划管理体制改革等方面，探索了一批可复制可推广的经验做法。下一步，要继续编制完善空间规划，深化体制机制改革，保障空间规划落地实施。	区域发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	会议强调，党的十八大以来的5年，是全面深化改革夯基垒台、积厚成势、攻坚克难、砥砺奋进的5年，也是改革集中推进、全面深入、成果显著、积累经验的5年。在党中央正确领导下，广大干部群众积极投身改革，汇聚起推进全面深化改革的磅礴伟力，迎风破浪、大刀阔斧、上下联动、蹄疾步稳，谱写了改革新篇章，改革成为中国共产党的鲜明旗帜和当代中国的时代特征。	区域发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	5年来，面对艰巨复杂的改革任务，党中央举旗定向、谋篇布局，以前所未有的决心和力度推进全面深化改革，对全面深化改革作出一系列重大战略部署。我们坚持从体制机制层面入手，统筹谋划改革任务，改革涉及范围之广、出台方案之多、触及利益之深、推进力度之大前所未有。我们坚持一分部署、九分落实，抓铁有痕、踏石留印，各项改革相继落地、渐次开花。我们坚持凝聚各方智慧，创造和积累了改革的新鲜经验。实践证明，坚持和加强党对全面深化改革的集中统一领导，提升党中央对全面深化改革的领导力和权威性，有利于全党全国在改革上统一思想、坚定信心，有利于改革涉险滩、闯难关、啃硬骨头，有利于统筹协调、蹄疾步稳推进各项改革，为全面深化改革提供根本政治保证。	区域发展
m-2186953670-1504012260	会议审议通过了关于完善主体功能区战略和制度的若干意见关于探索建立涉农资金统筹整合长效机制的意见生态环境损害赔偿制度改革方案关于建立健全村务监督委员会的指导意见关于加强法官检察官正规化专业化职业化建设全	改革只有进行时、没有完成时。要坚持一张蓝图绘到底。党的十八届三中、四中、五中、六中全会提出的改革任务，进展总的符合预期。对已经出台的改革举措，要对落实情况进行总体评估，尚未落地或落实效果未达到预期的改革任务，党的十九大之后要继续做实。	区域发展
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	中共中央总书记、国家主席、中央军委主席、中央全面深化改革委员会主任习近平5月21日下午主持召开中央全面深化改革委员会第十九次会议，审议通过了《关于完善科技成果评价机制的指导意见》、《关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见》、《深化医疗服务价格改革试点方案》、《关于深化生态保护补偿制度改革的意见》、《关于在城乡建设中加强历史文化保护传承的若干意见》。	"'科技', '教育', '医药健康', '绿色发展', '文化旅游'"
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	习近平在主持会议时强调，加快实现科技自立自强，要用好科技成果评价这个指挥棒，遵循科技创新规律，坚持正确的科技成果评价导向，激发科技人员积极性。义务教育是国民教育的重中之重，要全面贯彻党的教育方针，落实立德树人根本任务，充分发挥学校教书育人主体功能，强化线上线下校外培训机构规范管理。要强化基本医疗卫生事业公益属性，深化医疗服务价格改革，建立合理补偿机制，稳定调价预期，确保群众负担总体稳定、医保基金可承受、公立医疗机构健康发展可持续，提高医疗卫生为人民服务质量和水平。要围绕生态文明建设总体目标，加强同碳达峰、碳中和目标任务衔接，进一步推进生态保护补偿制度建设，发挥生态保护补偿的政策导向作用。要本着对历史负责、对人民负责的态度，建立分类科学、保护有力、管理有效的城乡历史文化保护传承体系。	"'科技', '教育', '医药健康', '绿色发展', '文化旅游'"
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议指出，党的十八大以来，党中央部署推进科技评价体系改革，聚焦“四个面向”的科技成果评价导向逐步确立，激励创新的环境正在形成，带动我国科技创新能力明显提升。同时，分类的科技成果评价体系尚未建立，指标单一化、标准定量化、结果功利化问题还不同程度存在。	科技
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议强调，完善科技成果评价机制，关键要解决好“评什么”、“谁来评”、“怎么评”、“怎么用”的问题。要坚持质量、绩效、贡献为核心的评价导向，健全科技成果分类评价体系，针对基础研究、应用研究、技术开发等不同种类成果形成细化的评价标准，全面准确评价科技成果的科学、技术、经济、社会、文化价值。要加快构建政府、社会组织、企业、投融资机构等共同参与的多元评价体系，积极发展市场化评价，突出企业创新主体地位，规范第三方评价，充分调动各类评价主体的积极性。要把握科研渐进性和成果阶段性特点，加强中长期评价、后评价和成果回溯，推进国家科技项目成果评价改革，健全重大项目知识产权管理流程，加强科技成果评价的理论和方法研究，引导科技人员潜心研究、探索创新，杜绝科技成果评价中急功近利、盲目跟风现象。要加快推动科技成果转化应用，加快建设高水平技术交易市场，加大金融投资对科技成果转化和产业化的支持，把科技成果转化绩效纳入高校、科研机构、国有企业创新能力评价，细化完善有利于转化的职务科技成果评估政策，鼓励广大科技工作者把论文写在祖国大地上。要改革完善科技成果奖励体系，重在奖励真正作出创造性贡献的科学家和一线科技人员，控制奖励数量，提升奖励质量。	科技
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议指出，义务教育最突出的问题之一是中小学生负担太重，短视化、功利化问题没有根本解决。特别是校外培训机构无序发展，“校内减负、校外增负”现象突出。减轻学生负担，根本之策在于全面提高学校教学质量，做到应教尽教，强化学校教育的主阵地作用。要深化教育教学改革，提升课堂教学质量，优化教学方式，全面压减作业总量，降低考试压力。要鼓励支持学校开展各种课后育人活动，满足学生的多样化需求。要加强教师队伍建设，优化教师资源配置，提高教育教学水平，依法保障教师权益和待遇。	教育
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议强调，要全面规范管理校外培训机构，坚持从严治理，对存在不符合资质、管理混乱、借机敛财、虚假宣传、与学校勾连牟利等问题的机构，要严肃查处。要明确培训机构收费标准，加强预收费监管，严禁随意资本化运作，不能让良心的行业变成逐利的产业。要完善相关法律，依法管理校外培训机构。各级党委和政府要强化主体责任，做实做细落实方案，科学组织、务求实效，依法规范教学培训秩序，加强权益保护，确保改革稳妥实施。	教育
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议指出，医疗服务价格是人民群众最关心最直接最现实的利益问题。近几年，党中央部署推动一系列改革，通过取消药品加成、带量集中招采和加强成本控制，把药品耗材价格降下来了，老百姓负担减轻了，也为调整医疗服务价格创造了条件。	医药健康
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议强调，深化医疗服务价格改革，要规范管理医疗服务价格项目，建立目标导向的价格项目管理机制，使医疗服务价格项目更好计价、更好执行、更好评价，更能适应临床诊疗和价格管理需要。要加强对医疗服务价格宏观管理，平衡好医疗事业发展需要和各方承受能力，在总量范围内突出重点、有升有降。要结合医疗服务特性加强分类管理，对普遍开展的通用项目，政府要把价格基准管住管好；对于技术难度大的复杂项目，政府要发挥好作用，尊重医院和医生的专业性意见建议，更好体现技术劳务价值。要建立灵敏有度的价格动态调整机制，明确调价的启动条件和约束条件。要搞好价格监测评估和监督检查，确保价格机制稳定运行。要积极稳妥开展试点工作，统筹推进公立医院补偿机制、分级诊疗、医疗控费、医保支付等相关改革，形成综合效应。	医药健康
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议指出，在党中央统一部署下，各有关部门和地区推进生态补偿制度建设，在森林、草原、湿地、荒漠、海洋、水流、耕地等7个领域建立了生态补偿机制，取得积极成效，但仍然存在补偿覆盖范围有限、政策重点不够突出、奖惩力度偏弱、相关主体协调难度大等问题。要围绕加快推动绿色低碳发展、促进经济社会发展全面绿色转型，完善分类补偿制度，加强补偿政策的协同联动，统筹各渠道补偿资金，实施综合性补偿，促进对生态环境的整体保护。要统筹运用好法律、行政、市场等手段，把生态保护补偿、生态损害赔偿、生态产品市场交易机制等有机结合起来，协同发力，有奖有惩，决不能边拿补偿边污染。	'绿色发展'
m-1244349627-1621601580	审议通过了关于完善科技成果评价机制的指导意见关于进一步减轻义务教育阶段学生作业负担和校外培训负担的意见深化医疗服务价格改革试点方案关于深化生态保护补偿制度改革的意见关于在城乡建设中加强历史文化保护传承	会议强调，要着力解决城乡建设中历史文化遗产屡遭破坏、拆除等突出问题，加强制度顶层设计，统筹保护、利用、传承，坚持系统完整保护，既要保护单体建筑，也要保护街巷街区、城镇格局，还要保护好历史地段、自然景观、人文环境。要强化各级党委和政府在城乡历史文化保护传承中的主体责任，统筹规划、建设、管理，加强监督检查和问责问效。	'文化旅游'
m-465612500-1661856840	研究中国共产党第十九届中央委员会第七次全体会议和中国共产党第二十次全国代表大会筹备工作	中共中央政治局8月30日召开会议，研究中国共产党第十九届中央委员会第七次全体会议和中国共产党第二十次全国代表大会筹备工作。中共中央总书记习近平主持会议。	宏观
m-465612500-1661856840	研究中国共产党第十九届中央委员会第七次全体会议和中国共产党第二十次全国代表大会筹备工作	会议决定，中国共产党第十九届中央委员会第七次全体会议于2022年10月9日在北京召开。中共中央政治局将向党的十九届七中全会建议，中国共产党第二十次全国代表大会于2022年10月16日在北京召开。	宏观
m-465612500-1661856840	研究中国共产党第十九届中央委员会第七次全体会议和中国共产党第二十次全国代表大会筹备工作	会议强调，中国共产党第二十次全国代表大会，是在全党全国各族人民迈上全面建设社会主义现代化国家新征程、向第二个百年奋斗目标进军的关键时刻召开的一次十分重要的大会。大会将高举中国特色社会主义伟大旗帜，坚持马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想、科学发展观，全面贯彻习近平新时代中国特色社会主义思想，认真总结过去5年工作，全面总结新时代以来以习近平同志为核心的党中央团结带领全党全国各族人民坚持和发展中国特色社会主义取得的重大成就和宝贵经验，深入分析国际国内形势，全面把握新时代新征程党和国家事业发展新要求、人民群众新期待，制定行动纲领和大政方针，动员全党全国各族人民坚定历史自信、增强历史主动，守正创新、勇毅前行，继续统筹推进“五位一体”总体布局、协调推进“四个全面”战略布局，继续扎实推进全体人民共同富裕，继续有力推进党的建设新的伟大工程，继续积极推动构建人类命运共同体，为全面建设社会主义现代化国家、全面推进中华民族伟大复兴而团结奋斗。	宏观
m-594424299-1640240040	李克强主持召开国务院常务会议确定跨周期调节措施 推动外贸稳定发展部署做好区域全面经济伙伴关系协定生效后实施工作	新华社北京12月23日电 日前，国务院总理李克强主持召开国务院常务会议，确定跨周期调节措施，推动外贸稳定发展；部署做好《区域全面经济伙伴关系协定》生效后实施工作。	出口贸易
m-594424299-1640240040	李克强主持召开国务院常务会议确定跨周期调节措施 推动外贸稳定发展部署做好区域全面经济伙伴关系协定生效后实施工作	会议指出，今年我国进出口快速增长，为稳定经济增长作出重要贡献。但当前外贸面临不确定不稳定不平衡因素增多。要落实党中央、国务院部署，按照中央经济工作会议要求，进一步扩大开放，针对困难挑战推出应对举措，做好跨周期调节，助企纾困特别是扶持中小微企业，努力保订单、稳预期，促进外贸平稳发展。一是加强对进出口的政策支持。落实减税降费措施。加快出口退税进度，把退税平均时间压缩至6个工作日以内。引导银行结合外贸企业需求创新保单融资等产品。保持人民币汇率基本稳定，鼓励银行有针对性开展远期结售汇业务，提升外贸企业应对汇率风险能力。优化出口信保承保和理赔条件，加大对中小微外贸企业、出运前订单被取消风险等的保障力度。深化东部与中西部、东北地区合作共建，支持加工贸易梯度转移和承接。做好大宗商品进口。二是进一步鼓励跨境电商等外贸新业态发展。增设跨境电子商务综合试验区。培育一批离岸贸易中心城市（地区）。按照市场化方式加大对建设使用海外仓的支持。优化跨境电商零售商品进口清单、扩大进口类别。三是加强对企业的配套服务，推动解决企业在发展内外贸同线同标同质产品、拓展贸易渠道、完善供应链等方面遇到的问题。2022年对加工贸易企业内销暂免征收缓税利息。四是缓解国际物流压力。鼓励外贸企业和航运企业签订长期协议。依法依规打击违规收费、哄抬运价等行为。支持金融机构向符合条件的小微外贸企业提供物流方面的普惠性金融支持。五是支持地方结合实际建立健全制度，积极开展贸易调整援助工作，助力稳定产业链和供应链。	出口贸易
m-594424299-1640240040	李克强主持召开国务院常务会议确定跨周期调节措施 推动外贸稳定发展部署做好区域全面经济伙伴关系协定生效后实施工作	会议指出，经过国际国内相关方共同努力，《区域全面经济伙伴关系协定》将于2022年1月1日正式生效实施。要支持企业抓住协定实施的契机，增强参与国际市场竞争力，进一步提升贸易和投资发展水平，倒逼国内产业升级。一是鼓励企业用好成员国降税、区域原产地累积规则等，扩大优势产品出口和有竞争力的产品进口。用好开放承诺和规则，加强区域内高端、绿色产业链和制造业项目合作，提升服务业和投资开放水平。二是对标国际先进规则优化营商环境，积极引进区域内资金、人才，加大参与国际标准制定和对接力度。三是建立自贸协定实施公共服务平台和专家队伍，通过政府购买服务方式进一步加强对中小微企业的培训，提升理解和应用协定规则能力。发展通关、单证等专业化服务，为中小微企业提供便利。四是继续推动协定更多成员生效实施和协定机制化建设，共同打造地区经贸合作主平台。助力发挥世贸组织作用，坚持自由贸易。推进其他多双边自贸协定谈判，促进高水平对外开放。	出口贸易
m-594424299-1640240040	李克强主持召开国务院常务会议确定跨周期调节措施 推动外贸稳定发展部署做好区域全面经济伙伴关系协定生效后实施工作	新华社北京12月23日电 日前，国务院总理李克强主持召开国务院常务会议，确定跨周期调节措施，推动外贸稳定发展；部署做好《区域全面经济伙伴关系协定》生效后实施工作。	出口贸易
m-594424299-1640240040	李克强主持召开国务院常务会议确定跨周期调节措施 推动外贸稳定发展部署做好区域全面经济伙伴关系协定生效后实施工作	会议指出，今年我国进出口快速增长，为稳定经济增长作出重要贡献。但当前外贸面临不确定不稳定不平衡因素增多。要落实党中央、国务院部署，按照中央经济工作会议要求，进一步扩大开放，针对困难挑战推出应对举措，做好跨周期调节，助企纾困特别是扶持中小微企业，努力保订单、稳预期，促进外贸平稳发展。一是加强对进出口的政策支持。落实减税降费措施。加快出口退税进度，把退税平均时间压缩至6个工作日以内。引导银行结合外贸企业需求创新保单融资等产品。保持人民币汇率基本稳定，鼓励银行有针对性开展远期结售汇业务，提升外贸企业应对汇率风险能力。优化出口信保承保和理赔条件，加大对中小微外贸企业、出运前订单被取消风险等的保障力度。深化东部与中西部、东北地区合作共建，支持加工贸易梯度转移和承接。做好大宗商品进口。二是进一步鼓励跨境电商等外贸新业态发展。增设跨境电子商务综合试验区。培育一批离岸贸易中心城市（地区）。按照市场化方式加大对建设使用海外仓的支持。优化跨境电商零售商品进口清单、扩大进口类别。三是加强对企业的配套服务，推动解决企业在发展内外贸同线同标同质产品、拓展贸易渠道、完善供应链等方面遇到的问题。2022年对加工贸易企业内销暂免征收缓税利息。四是缓解国际物流压力。鼓励外贸企业和航运企业签订长期协议。依法依规打击违规收费、哄抬运价等行为。支持金融机构向符合条件的小微外贸企业提供物流方面的普惠性金融支持。五是支持地方结合实际建立健全制度，积极开展贸易调整援助工作，助力稳定产业链和供应链。	出口贸易
